choice.set	choice.ID	screen	RAM	processor	price	brand
1	1	0	0	0	0	0
1	2	0	2	1	0	3
1	3	2	2	2	2	2
2	1	1	1	2	0	0
2	2	1	0	0	0	3
2	3	0	0	1	2	2
3	1	2	2	1	0	0
3	2	2	1	2	0	3
3	3	1	1	0	2	2
4	1	2	0	2	1	0
4	2	2	2	0	1	3
4	3	1	2	1	0	2
5	1	0	1	1	1	0
5	2	0	0	2	1	3
5	3	2	0	0	0	2
6	1	1	2	0	1	0
6	2	1	1	1	1	3
6	3	0	1	2	0	2
7	1	1	0	1	2	0
7	2	1	2	2	2	3
7	3	0	2	0	1	2
8	1	2	1	0	2	0
8	2	2	0	1	2	3
8	3	1	0	2	1	2
9	1	0	2	2	2	0
9	2	0	1	0	2	3
9	3	2	1	1	1	2
10	1	0	0	0	0	1
10	2	0	2	1	0	0
10	3	2	2	2	2	3
11	1	1	1	2	0	1
11	2	1	0	0	0	0
11	3	0	0	1	2	3
12	1	2	2	1	0	1
12	2	2	1	2	0	0
12	3	1	1	0	2	3
13	1	2	0	2	1	1
13	2	2	2	0	1	0
13	3	1	2	1	0	3
14	1	0	1	1	1	1
14	2	0	0	2	1	0
14	3	2	0	0	0	3
15	1	1	2	0	1	1
15	2	1	1	1	1	0
15	3	0	1	2	0	3
16	1	1	0	1	2	1
16	2	1	2	2	2	0
16	3	0	2	0	1	3
17	1	2	1	0	2	1
17	2	2	0	1	2	0
17	3	1	0	2	1	3
18	1	0	2	2	2	1
18	2	0	1	0	2	0
18	3	2	1	1	1	3
19	1	0	0	0	0	2
19	2	0	2	1	0	1
19	3	2	2	2	2	0
20	1	1	1	2	0	2
20	2	1	0	0	0	1
20	3	0	0	1	2	0
21	1	2	2	1	0	2
21	2	2	1	2	0	1
21	3	1	1	0	2	0
22	1	2	0	2	1	2
22	2	2	2	0	1	1
22	3	1	2	1	0	0
23	1	0	1	1	1	2
23	2	0	0	2	1	1
23	3	2	0	0	0	0
24	1	1	2	0	1	2
24	2	1	1	1	1	1
24	3	0	1	2	0	0
25	1	1	0	1	2	2
25	2	1	2	2	2	1
25	3	0	2	0	1	0
26	1	2	1	0	2	2
26	2	2	0	1	2	1
26	3	1	0	2	1	0
27	1	0	2	2	2	2
27	2	0	1	0	2	1
27	3	2	1	1	1	0
28	1	0	0	0	0	3
28	2	0	2	1	0	2
28	3	2	2	2	2	1
29	1	1	1	2	0	3
29	2	1	0	0	0	2
29	3	0	0	1	2	1
30	1	2	2	1	0	3
30	2	2	1	2	0	2
30	3	1	1	0	2	1
31	1	2	0	2	1	3
31	2	2	2	0	1	2
31	3	1	2	1	0	1
32	1	0	1	1	1	3
32	2	0	0	2	1	2
32	3	2	0	0	0	1
33	1	1	2	0	1	3
33	2	1	1	1	1	2
33	3	0	1	2	0	1
34	1	1	0	1	2	3
34	2	1	2	2	2	2
34	3	0	2	0	1	1
35	1	2	1	0	2	3
35	2	2	0	1	2	2
35	3	1	0	2	1	1
36	1	0	2	2	2	3
36	2	0	1	0	2	2
36	3	2	1	1	1	1
